location,target_end_date,observed,trend
AT,2020-01-25,0,NA
BE,2020-01-25,0,NA
BG,2020-01-25,0,NA
CH,2020-01-25,0,NA
CY,2020-01-25,0,NA
CZ,2020-01-25,0,NA
DE,2020-01-25,0,NA
DK,2020-01-25,0,NA
EE,2020-01-25,0,NA
ES,2020-01-25,0,NA
FI,2020-01-25,0,NA
FR,2020-01-25,0,NA
GB,2020-01-25,0,NA
GR,2020-01-25,0,NA
HR,2020-01-25,0,NA
HU,2020-01-25,0,NA
IE,2020-01-25,0,NA
IS,2020-01-25,0,NA
IT,2020-01-25,0,NA
LI,2020-01-25,0,NA
LT,2020-01-25,0,NA
LU,2020-01-25,0,NA
LV,2020-01-25,0,NA
MT,2020-01-25,0,NA
NL,2020-01-25,0,NA
NO,2020-01-25,0,NA
PL,2020-01-25,0,NA
PT,2020-01-25,0,NA
RO,2020-01-25,0,NA
SE,2020-01-25,0,NA
SI,2020-01-25,0,NA
SK,2020-01-25,0,NA
AT,2020-02-01,0,NA
BE,2020-02-01,0,NA
BG,2020-02-01,0,NA
CH,2020-02-01,0,NA
CY,2020-02-01,0,NA
CZ,2020-02-01,0,NA
DE,2020-02-01,0,NA
DK,2020-02-01,0,NA
EE,2020-02-01,0,NA
ES,2020-02-01,0,NA
FI,2020-02-01,0,NA
FR,2020-02-01,0,NA
GB,2020-02-01,1,NA
GR,2020-02-01,0,NA
HR,2020-02-01,0,NA
HU,2020-02-01,0,NA
IE,2020-02-01,0,NA
IS,2020-02-01,0,NA
IT,2020-02-01,0,NA
LI,2020-02-01,0,NA
LT,2020-02-01,0,NA
LU,2020-02-01,0,NA
LV,2020-02-01,0,NA
MT,2020-02-01,0,NA
NL,2020-02-01,0,NA
NO,2020-02-01,0,NA
PL,2020-02-01,0,NA
PT,2020-02-01,0,NA
RO,2020-02-01,0,NA
SE,2020-02-01,0,NA
SI,2020-02-01,0,NA
SK,2020-02-01,0,NA
AT,2020-02-08,0,NA
BE,2020-02-08,0,NA
BG,2020-02-08,0,NA
CH,2020-02-08,0,NA
CY,2020-02-08,0,NA
CZ,2020-02-08,0,NA
DE,2020-02-08,0,NA
DK,2020-02-08,0,NA
EE,2020-02-08,0,NA
ES,2020-02-08,0,NA
FI,2020-02-08,0,NA
FR,2020-02-08,0,NA
GB,2020-02-08,1,NA
GR,2020-02-08,0,NA
HR,2020-02-08,0,NA
HU,2020-02-08,0,NA
IE,2020-02-08,0,NA
IS,2020-02-08,0,NA
IT,2020-02-08,0,NA
LI,2020-02-08,0,NA
LT,2020-02-08,0,NA
LU,2020-02-08,0,NA
LV,2020-02-08,0,NA
MT,2020-02-08,0,NA
NL,2020-02-08,0,NA
NO,2020-02-08,0,NA
PL,2020-02-08,0,NA
PT,2020-02-08,0,NA
RO,2020-02-08,0,NA
SE,2020-02-08,0,NA
SI,2020-02-08,0,NA
SK,2020-02-08,0,NA
AT,2020-02-15,0,Stable
BE,2020-02-15,0,Stable
BG,2020-02-15,0,Stable
CH,2020-02-15,0,Stable
CY,2020-02-15,0,Stable
CZ,2020-02-15,0,Stable
DE,2020-02-15,0,Stable
DK,2020-02-15,0,Stable
EE,2020-02-15,0,Stable
ES,2020-02-15,0,Stable
FI,2020-02-15,0,Stable
FR,2020-02-15,1,Increasing
GB,2020-02-15,0,Stable
GR,2020-02-15,0,Stable
HR,2020-02-15,0,Stable
HU,2020-02-15,0,Stable
IE,2020-02-15,0,Stable
IS,2020-02-15,0,Stable
IT,2020-02-15,0,Stable
LI,2020-02-15,0,Stable
LT,2020-02-15,0,Stable
LU,2020-02-15,0,Stable
LV,2020-02-15,0,Stable
MT,2020-02-15,0,Stable
NL,2020-02-15,0,Stable
NO,2020-02-15,0,Stable
PL,2020-02-15,0,Stable
PT,2020-02-15,0,Stable
RO,2020-02-15,0,Stable
SE,2020-02-15,0,Stable
SI,2020-02-15,0,Stable
SK,2020-02-15,0,Stable
AT,2020-02-22,0,Stable
BE,2020-02-22,0,Stable
BG,2020-02-22,0,Stable
CH,2020-02-22,0,Stable
CY,2020-02-22,0,Stable
CZ,2020-02-22,0,Stable
DE,2020-02-22,0,Stable
DK,2020-02-22,0,Stable
EE,2020-02-22,0,Stable
ES,2020-02-22,0,Stable
FI,2020-02-22,0,Stable
FR,2020-02-22,0,Stable
GB,2020-02-22,1,Stable
GR,2020-02-22,0,Stable
HR,2020-02-22,0,Stable
HU,2020-02-22,0,Stable
IE,2020-02-22,0,Stable
IS,2020-02-22,0,Stable
IT,2020-02-22,2,Increasing
LI,2020-02-22,0,Stable
LT,2020-02-22,0,Stable
LU,2020-02-22,0,Stable
LV,2020-02-22,0,Stable
MT,2020-02-22,0,Stable
NL,2020-02-22,0,Stable
NO,2020-02-22,0,Stable
PL,2020-02-22,0,Stable
PT,2020-02-22,0,Stable
RO,2020-02-22,0,Stable
SE,2020-02-22,0,Stable
SI,2020-02-22,0,Stable
SK,2020-02-22,0,Stable
AT,2020-02-29,0,Stable
BE,2020-02-29,0,Stable
BG,2020-02-29,0,Stable
CH,2020-02-29,0,Stable
CY,2020-02-29,0,Stable
CZ,2020-02-29,0,Stable
DE,2020-02-29,0,Stable
DK,2020-02-29,0,Stable
EE,2020-02-29,0,Stable
ES,2020-02-29,0,Stable
FI,2020-02-29,0,Stable
FR,2020-02-29,1,Increasing
GB,2020-02-29,0,Decreasing
GR,2020-02-29,0,Stable
HR,2020-02-29,0,Stable
HU,2020-02-29,0,Stable
IE,2020-02-29,0,Stable
IS,2020-02-29,0,Stable
IT,2020-02-29,27,Increasing
LI,2020-02-29,0,Stable
LT,2020-02-29,0,Stable
LU,2020-02-29,0,Stable
LV,2020-02-29,0,Stable
MT,2020-02-29,0,Stable
NL,2020-02-29,0,Stable
NO,2020-02-29,0,Stable
PL,2020-02-29,0,Stable
PT,2020-02-29,0,Stable
RO,2020-02-29,0,Stable
SE,2020-02-29,0,Stable
SI,2020-02-29,0,Stable
SK,2020-02-29,0,Stable
AT,2020-03-07,0,Stable
BE,2020-03-07,0,Stable
BG,2020-03-07,0,Stable
CH,2020-03-07,1,Increasing
CY,2020-03-07,0,Stable
CZ,2020-03-07,0,Stable
DE,2020-03-07,0,Stable
DK,2020-03-07,0,Stable
EE,2020-03-07,0,Stable
ES,2020-03-07,10,Increasing
FI,2020-03-07,1,Increasing
FR,2020-03-07,14,Increasing
GB,2020-03-07,6,Increasing
GR,2020-03-07,0,Stable
HR,2020-03-07,0,Stable
HU,2020-03-07,0,Stable
IE,2020-03-07,0,Stable
IS,2020-03-07,0,Stable
IT,2020-03-07,204,Increasing
LI,2020-03-07,0,Stable
LT,2020-03-07,0,Stable
LU,2020-03-07,0,Stable
LV,2020-03-07,0,Stable
MT,2020-03-07,0,Stable
NL,2020-03-07,1,Increasing
NO,2020-03-07,0,Stable
PL,2020-03-07,0,Stable
PT,2020-03-07,0,Stable
RO,2020-03-07,0,Stable
SE,2020-03-07,0,Stable
SI,2020-03-07,0,Stable
SK,2020-03-07,0,Stable
AT,2020-03-14,1,Increasing
BE,2020-03-14,4,Increasing
BG,2020-03-14,2,Increasing
CH,2020-03-14,13,Increasing
CY,2020-03-14,0,Stable
CZ,2020-03-14,0,Stable
DE,2020-03-14,8,Increasing
DK,2020-03-14,1,Increasing
EE,2020-03-14,0,Stable
ES,2020-03-14,185,Increasing
FI,2020-03-14,1,Increasing
FR,2020-03-14,75,Increasing
GB,2020-03-14,67,Increasing
GR,2020-03-14,3,Increasing
HR,2020-03-14,0,Stable
HU,2020-03-14,0,Stable
IE,2020-03-14,2,Increasing
IS,2020-03-14,0,Stable
IT,2020-03-14,1208,Increasing
LI,2020-03-14,0,Stable
LT,2020-03-14,0,Stable
LU,2020-03-14,1,Increasing
LV,2020-03-14,0,Stable
MT,2020-03-14,0,Stable
NL,2020-03-14,11,Increasing
NO,2020-03-14,3,Increasing
PL,2020-03-14,3,Increasing
PT,2020-03-14,0,Stable
RO,2020-03-14,0,Stable
SE,2020-03-14,5,Increasing
SI,2020-03-14,1,Increasing
SK,2020-03-14,0,Stable
AT,2020-03-21,14,Increasing
BE,2020-03-21,63,Increasing
BG,2020-03-21,1,Increasing
CH,2020-03-21,84,Increasing
CY,2020-03-21,0,Stable
CZ,2020-03-21,0,Stable
DE,2020-03-21,39,Increasing
DK,2020-03-21,12,Increasing
EE,2020-03-21,0,Stable
ES,2020-03-21,1180,Increasing
FI,2020-03-21,6,Increasing
FR,2020-03-21,471,Increasing
GB,2020-03-21,554,Increasing
GR,2020-03-21,10,Increasing
HR,2020-03-21,1,Increasing
HU,2020-03-21,4,Increasing
IE,2020-03-21,1,Increasing
IS,2020-03-21,1,Increasing
IT,2020-03-21,3384,Increasing
LI,2020-03-21,0,Stable
LT,2020-03-21,0,Stable
LU,2020-03-21,7,Increasing
LV,2020-03-21,0,Stable
MT,2020-03-21,0,Stable
NL,2020-03-21,124,Increasing
NO,2020-03-21,4,Increasing
PL,2020-03-21,2,Increasing
PT,2020-03-21,12,Increasing
RO,2020-03-21,0,Stable
SE,2020-03-21,44,Increasing
SI,2020-03-21,0,Stable
SK,2020-03-21,1,Increasing
AT,2020-03-28,66,Increasing
BE,2020-03-28,286,Increasing
BG,2020-03-28,4,Increasing
CH,2020-03-28,231,Increasing
CY,2020-03-28,5,Increasing
CZ,2020-03-28,11,Increasing
DE,2020-03-28,278,Increasing
DK,2020-03-28,52,Increasing
EE,2020-03-28,1,Increasing
ES,2020-03-28,4607,Increasing
FI,2020-03-28,19,Increasing
FR,2020-03-28,1749,Increasing
GB,2020-03-28,2383,Increasing
GR,2020-03-28,9,Increasing
HR,2020-03-28,4,Increasing
HU,2020-03-28,7,Increasing
IE,2020-03-28,33,Increasing
IS,2020-03-28,1,Increasing
IT,2020-03-28,5198,Increasing
LI,2020-03-28,0,Stable
LT,2020-03-28,4,Increasing
LU,2020-03-28,10,Increasing
LV,2020-03-28,0,Stable
MT,2020-03-28,0,Stable
NL,2020-03-28,503,Increasing
NO,2020-03-28,16,Increasing
PL,2020-03-28,13,Increasing
PT,2020-03-28,88,Increasing
RO,2020-03-28,37,Increasing
SE,2020-03-28,190,Increasing
SI,2020-03-28,8,Increasing
SK,2020-03-28,NA,NA
AT,2020-04-04,124,Increasing
BE,2020-04-04,930,Increasing
BG,2020-04-04,10,Increasing
CH,2020-04-04,390,Increasing
CY,2020-04-04,4,Increasing
CZ,2020-04-04,48,Increasing
DE,2020-04-04,833,Increasing
DK,2020-04-04,96,Increasing
EE,2020-04-04,12,Increasing
ES,2020-04-04,5965,Increasing
FI,2020-04-04,46,Increasing
FR,2020-04-04,5237,Increasing
GB,2020-04-04,6267,Increasing
GR,2020-04-04,46,Increasing
HR,2020-04-04,7,Increasing
HU,2020-04-04,21,Increasing
IE,2020-04-04,101,Increasing
IS,2020-04-04,2,Increasing
IT,2020-04-04,5339,Increasing
LI,2020-04-04,1,Increasing
LT,2020-04-04,3,Increasing
LU,2020-04-04,13,Increasing
LV,2020-04-04,1,Increasing
MT,2020-04-04,0,Stable
NL,2020-04-04,1012,Increasing
NO,2020-04-04,39,Increasing
PL,2020-04-04,61,Increasing
PT,2020-04-04,166,Increasing
RO,2020-04-04,109,Increasing
SE,2020-04-04,134,Increasing
SI,2020-04-04,13,Increasing
SK,2020-04-04,1,NA
AT,2020-04-11,159,Increasing
BE,2020-04-11,2063,Increasing
BG,2020-04-11,11,Increasing
CH,2020-04-11,368,Increasing
CY,2020-04-11,1,Increasing
CZ,2020-04-11,70,Increasing
DE,2020-04-11,1386,Increasing
DK,2020-04-11,99,Increasing
EE,2020-04-11,11,Increasing
ES,2020-04-11,4659,Increasing
FI,2020-04-11,60,Increasing
FR,2020-04-11,6268,Increasing
GB,2020-04-11,9203,Increasing
GR,2020-04-11,25,Increasing
HR,2020-04-11,9,Increasing
HU,2020-04-11,53,Increasing
IE,2020-04-11,183,Increasing
IS,2020-04-11,4,Increasing
IT,2020-04-11,4106,Increasing
LI,2020-04-11,0,Stable
LT,2020-04-11,6,Increasing
LU,2020-04-11,31,Increasing
LV,2020-04-11,2,Increasing
MT,2020-04-11,3,Increasing
NL,2020-04-11,992,Increasing
NO,2020-04-11,57,Increasing
PL,2020-04-11,129,Increasing
PT,2020-04-11,204,Increasing
RO,2020-04-11,145,Increasing
SE,2020-04-11,514,Increasing
SI,2020-04-11,28,Increasing
SK,2020-04-11,1,NA
AT,2020-04-18,125,Increasing
BE,2020-04-18,2107,Increasing
BG,2020-04-18,13,Increasing
CH,2020-04-18,279,Stable
CY,2020-04-18,2,Decreasing
CZ,2020-04-18,52,Increasing
DE,2020-04-18,1566,Increasing
DK,2020-04-18,86,Increasing
EE,2020-04-18,14,Increasing
ES,2020-04-18,3437,Decreasing
FI,2020-04-18,72,Increasing
FR,2020-04-18,5467,Increasing
GB,2020-04-18,8923,Increasing
GR,2020-04-18,17,Increasing
HR,2020-04-18,18,Increasing
HU,2020-04-18,87,Increasing
IE,2020-04-18,251,Increasing
IS,2020-04-18,1,Stable
IT,2020-04-18,3759,Decreasing
LI,2020-04-18,0,Stable
LT,2020-04-18,9,Increasing
LU,2020-04-18,10,Stable
LV,2020-04-18,2,Increasing
MT,2020-04-18,0,Stable
NL,2020-04-18,958,Increasing
NO,2020-04-18,45,Increasing
PL,2020-04-18,139,Increasing
PT,2020-04-18,217,Increasing
RO,2020-04-18,130,Increasing
SE,2020-04-18,624,Increasing
SI,2020-04-18,20,Increasing
SK,2020-04-18,9,NA
AT,2020-04-25,95,Decreasing
BE,2020-04-25,1464,Increasing
BG,2020-04-25,14,Increasing
CH,2020-04-25,215,Decreasing
CY,2020-04-25,2,Decreasing
CZ,2020-04-25,37,Decreasing
DE,2020-04-25,1390,Increasing
DK,2020-04-25,72,Decreasing
EE,2020-04-25,8,Decreasing
ES,2020-04-25,2859,Decreasing
FI,2020-04-25,36,Decreasing
FR,2020-04-25,3271,Decreasing
GB,2020-04-25,7431,Stable
GR,2020-04-25,20,Decreasing
HR,2020-04-25,15,Increasing
HU,2020-04-25,90,Increasing
IE,2020-04-25,492,Increasing
IS,2020-04-25,1,Decreasing
IT,2020-04-25,3157,Decreasing
LI,2020-04-25,0,Decreasing
LT,2020-04-25,7,Increasing
LU,2020-04-25,13,Stable
LV,2020-04-25,7,Increasing
MT,2020-04-25,1,Increasing
NL,2020-04-25,808,Decreasing
NO,2020-04-25,37,Stable
PL,2020-04-25,177,Increasing
PT,2020-04-25,193,Stable
RO,2020-04-25,180,Increasing
SE,2020-04-25,681,Increasing
SI,2020-04-25,11,Stable
SK,2020-04-25,6,Increasing
AT,2020-05-02,65,Decreasing
BE,2020-05-02,848,Decreasing
BG,2020-05-02,17,Increasing
CH,2020-05-02,107,Decreasing
CY,2020-05-02,1,Stable
CZ,2020-05-02,27,Decreasing
DE,2020-05-02,1075,Decreasing
DK,2020-05-02,57,Decreasing
EE,2020-05-02,7,Decreasing
ES,2020-05-02,2198,Decreasing
FI,2020-05-02,21,Decreasing
FR,2020-05-02,2175,Decreasing
GB,2020-05-02,5649,Decreasing
GR,2020-05-02,13,Decreasing
HR,2020-05-02,23,Increasing
HU,2020-05-02,73,Increasing
IE,2020-05-02,223,Stable
IS,2020-05-02,0,Decreasing
IT,2020-05-02,2326,Decreasing
LI,2020-05-02,0,Stable
LT,2020-05-02,4,Decreasing
LU,2020-05-02,7,Decreasing
LV,2020-05-02,4,Increasing
MT,2020-05-02,0,Decreasing
NL,2020-05-02,578,Decreasing
NO,2020-05-02,10,Decreasing
PL,2020-05-02,140,Stable
PT,2020-05-02,143,Decreasing
RO,2020-05-02,170,Increasing
SE,2020-05-02,477,Stable
SI,2020-05-02,13,Decreasing
SK,2020-05-02,7,Increasing
AT,2020-05-09,34,Decreasing
BE,2020-05-09,816,Decreasing
BG,2020-05-09,18,Increasing
CH,2020-05-09,57,Decreasing
CY,2020-05-09,0,Decreasing
CZ,2020-05-09,31,Decreasing
DE,2020-05-09,794,Decreasing
DK,2020-05-09,51,Decreasing
EE,2020-05-09,7,Decreasing
ES,2020-05-09,1378,Decreasing
FI,2020-05-09,27,Decreasing
FR,2020-05-09,1542,Decreasing
GB,2020-05-09,4346,Decreasing
GR,2020-05-09,8,Decreasing
HR,2020-05-09,10,Decreasing
HU,2020-05-09,70,Decreasing
IE,2020-05-09,160,Decreasing
IS,2020-05-09,0,Decreasing
IT,2020-05-09,1685,Decreasing
LI,2020-05-09,0,Stable
LT,2020-05-09,2,Decreasing
LU,2020-05-09,9,Stable
LV,2020-05-09,2,Stable
MT,2020-05-09,1,Increasing
NL,2020-05-09,435,Decreasing
NO,2020-05-09,8,Decreasing
PL,2020-05-09,121,Stable
PT,2020-05-09,103,Decreasing
RO,2020-05-09,168,Increasing
SE,2020-05-09,551,Stable
SI,2020-05-09,7,Decreasing
SK,2020-05-09,2,Decreasing
AT,2020-05-16,26,Decreasing
BE,2020-05-16,424,Decreasing
BG,2020-05-16,15,Stable
CH,2020-05-16,23,Decreasing
CY,2020-05-16,2,Stable
CZ,2020-05-16,20,Decreasing
DE,2020-05-16,512,Decreasing
DK,2020-05-16,17,Decreasing
EE,2020-05-16,3,Decreasing
ES,2020-05-16,1085,Decreasing
FI,2020-05-16,8,Decreasing
FR,2020-05-16,1310,Decreasing
GB,2020-05-16,3122,Decreasing
GR,2020-05-16,11,Decreasing
HR,2020-05-16,8,Decreasing
HU,2020-05-16,43,Decreasing
IE,2020-05-16,87,Decreasing
IS,2020-05-16,0,Decreasing
IT,2020-05-16,1368,Decreasing
LI,2020-05-16,0,Stable
LT,2020-05-16,7,Stable
LU,2020-05-16,3,Decreasing
LV,2020-05-16,1,Decreasing
MT,2020-05-16,1,Stable
NL,2020-05-16,248,Decreasing
NO,2020-05-16,13,Decreasing
PL,2020-05-16,130,Decreasing
PT,2020-05-16,77,Decreasing
RO,2020-05-16,155,Stable
SE,2020-05-16,454,Decreasing
SI,2020-05-16,2,Decreasing
SK,2020-05-16,2,Decreasing
AT,2020-05-23,15,Decreasing
BE,2020-05-23,232,Decreasing
BG,2020-05-23,21,Increasing
CH,2020-05-23,21,Decreasing
CY,2020-05-23,0,Decreasing
CZ,2020-05-23,18,Decreasing
DE,2020-05-23,335,Decreasing
DK,2020-05-23,18,Decreasing
EE,2020-05-23,1,Decreasing
ES,2020-05-23,1115,Decreasing
FI,2020-05-23,6,Decreasing
FR,2020-05-23,820,Decreasing
GB,2020-05-23,2435,Decreasing
GR,2020-05-23,9,Decreasing
HR,2020-05-23,4,Decreasing
HU,2020-05-23,34,Decreasing
IE,2020-05-23,71,Decreasing
IS,2020-05-23,0,Stable
IT,2020-05-23,972,Decreasing
LI,2020-05-23,0,Stable
LT,2020-05-23,5,Increasing
LU,2020-05-23,5,Decreasing
LV,2020-05-23,3,Decreasing
MT,2020-05-23,0,Stable
NL,2020-05-23,141,Decreasing
NO,2020-05-23,3,Decreasing
PL,2020-05-23,78,Decreasing
PT,2020-05-23,99,Decreasing
RO,2020-05-23,82,Decreasing
SE,2020-05-23,318,Decreasing
SI,2020-05-23,3,Decreasing
SK,2020-05-23,0,Decreasing
AT,2020-05-30,15,Decreasing
BE,2020-05-30,216,Decreasing
BG,2020-05-30,13,Decreasing
CH,2020-05-30,7,Decreasing
CY,2020-05-30,0,Stable
CZ,2020-05-30,5,Decreasing
DE,2020-05-30,273,Decreasing
DK,2020-05-30,10,Decreasing
EE,2020-05-30,3,Decreasing
ES,2020-05-30,NA,NA
FI,2020-05-30,2,Decreasing
FR,2020-05-30,319,Decreasing
GB,2020-05-30,1903,Decreasing
GR,2020-05-30,4,Decreasing
HR,2020-05-30,4,Decreasing
HU,2020-05-30,42,Decreasing
IE,2020-05-30,47,Decreasing
IS,2020-05-30,0,Stable
IT,2020-05-30,605,Decreasing
LI,2020-05-30,0,Stable
LT,2020-05-30,7,Increasing
LU,2020-05-30,1,Decreasing
LV,2020-05-30,2,Stable
MT,2020-05-30,3,Increasing
NL,2020-05-30,140,Decreasing
NO,2020-05-30,1,Decreasing
PL,2020-05-30,68,Decreasing
PT,2020-05-30,94,Stable
RO,2020-05-30,83,Decreasing
SE,2020-05-30,403,Decreasing
SI,2020-05-30,2,Decreasing
SK,2020-05-30,0,Decreasing
AT,2020-06-06,17,Decreasing
BE,2020-06-06,127,Decreasing
BG,2020-06-06,21,Increasing
CH,2020-06-06,0,Decreasing
