model,location,scale,rel_wis
EuroCOVIDhub-baseline,AT,log,1.8016478855797338
EuroCOVIDhub-ensemble,AT,log,1
IEM_Health-CovidProject,AT,log,1.45671132223895
ILM-EKF,AT,log,1.1952728239444683
Imperial-DeCa,AT,log,1.4656707453972713
Imperial-RtI0,AT,log,1.483000144070282
Imperial-sbkp,AT,log,1.5078619436069738
JBUD-HMXK,AT,log,1.3902900304232597
Karlen-pypm,AT,log,1.1162548076994607
LANL-GrowthRate,AT,log,1.6573672548537826
MUNI-ARIMA,AT,log,1.6366173431470563
MUNI-LaggedRegARIMA,AT,log,1.039127291646682
MUNI-VAR,AT,log,1.0951725199289644
RobertWalraven-ESG,AT,log,1.6007387400193396
SDSC_ISG-TrendModel,AT,log,1.4506880453717845
UMass-MechBayes,AT,log,1.1665511041599985
UMass-SemiMech,AT,log,1.1259686901558332
USC-SIkJalpha,AT,log,1.070551516173124
bisop-seirfilterlite,AT,log,3.3134706558448
epiforecasts-EpiExpert,AT,log,1.4119752947192863
epiforecasts-EpiExpert_Rt,AT,log,1.4388695565830703
epiforecasts-EpiExpert_direct,AT,log,1.6697913196759482
epiforecasts-EpiNow2,AT,log,1.2710080569385507
EuroCOVIDhub-baseline,AT,natural,1.8838840811178454
EuroCOVIDhub-ensemble,AT,natural,1
IEM_Health-CovidProject,AT,natural,1.6893914829233698
ILM-EKF,AT,natural,1.4944633159434433
Imperial-DeCa,AT,natural,1.693462581433486
Imperial-RtI0,AT,natural,1.5496547840475798
Imperial-sbkp,AT,natural,1.6131333603007039
JBUD-HMXK,AT,natural,1.4447418713267395
Karlen-pypm,AT,natural,1.0151407338507055
LANL-GrowthRate,AT,natural,1.5887626491864264
MUNI-ARIMA,AT,natural,1.3207623395703265
MUNI-LaggedRegARIMA,AT,natural,0.8359588672212774
MUNI-VAR,AT,natural,1.3545382533878048
RobertWalraven-ESG,AT,natural,1.310928936531448
SDSC_ISG-TrendModel,AT,natural,1.4042666510646258
UMass-MechBayes,AT,natural,1.0843797565881494
UMass-SemiMech,AT,natural,1.09834252182269
USC-SIkJalpha,AT,natural,1.1129126241988236
bisop-seirfilterlite,AT,natural,2.788902489720693
epiforecasts-EpiExpert,AT,natural,1.5155965053636353
epiforecasts-EpiExpert_Rt,AT,natural,1.5514654370378769
epiforecasts-EpiExpert_direct,AT,natural,1.8877296898862248
epiforecasts-EpiNow2,AT,natural,1.1765797910692783
EuroCOVIDhub-baseline,BE,log,1.7094575952428983
EuroCOVIDhub-ensemble,BE,log,1
IEM_Health-CovidProject,BE,log,1.4907891213866749
ILM-EKF,BE,log,1.1313304388277
Imperial-DeCa,BE,log,2.0775826010345697
Imperial-RtI0,BE,log,3.97598163941496
Imperial-sbkp,BE,log,2.213164381551205
JBUD-HMXK,BE,log,2.3817585552314733
Karlen-pypm,BE,log,1.0560665288409066
LANL-GrowthRate,BE,log,1.4843730338633212
MUNI-ARIMA,BE,log,1.4267193170603107
MUNI-LaggedRegARIMA,BE,log,0.92912247310775
MUNI-VAR,BE,log,1.0389308947681972
RobertWalraven-ESG,BE,log,1.306881790163638
SDSC_ISG-TrendModel,BE,log,4.009911650354141
UMass-MechBayes,BE,log,1.4263848581119476
UMass-SemiMech,BE,log,1.4051676408249938
USC-SIkJalpha,BE,log,1.2805123987198488
bisop-seirfilterlite,BE,log,2.2621172631347397
epiforecasts-EpiExpert,BE,log,1.3057134114080862
epiforecasts-EpiExpert_Rt,BE,log,0.8214468251151202
epiforecasts-EpiExpert_direct,BE,log,1.839267420662175
epiforecasts-EpiNow2,BE,log,1.491275258776742
prolix-euclidean,BE,log,3.062966927033749
EuroCOVIDhub-baseline,BE,natural,1.4137655649556724
EuroCOVIDhub-ensemble,BE,natural,1
IEM_Health-CovidProject,BE,natural,1.5830599881973328
ILM-EKF,BE,natural,1.5775164281378693
Imperial-DeCa,BE,natural,2.074027119475826
Imperial-RtI0,BE,natural,3.586895331997479
Imperial-sbkp,BE,natural,2.194716835264482
JBUD-HMXK,BE,natural,1.232455412103469
Karlen-pypm,BE,natural,1.3291743496812587
LANL-GrowthRate,BE,natural,1.508428134293109
MUNI-ARIMA,BE,natural,1.220089810099369
MUNI-LaggedRegARIMA,BE,natural,0.908922316599479
MUNI-VAR,BE,natural,1.342460484490582
RobertWalraven-ESG,BE,natural,1.0835516917540025
SDSC_ISG-TrendModel,BE,natural,2.073400370237432
UMass-MechBayes,BE,natural,1.3113510202892826
UMass-SemiMech,BE,natural,1.573439574707965
USC-SIkJalpha,BE,natural,1.3627994401643984
bisop-seirfilterlite,BE,natural,2.0483837534101434
epiforecasts-EpiExpert,BE,natural,1.4374639090130195
epiforecasts-EpiExpert_Rt,BE,natural,0.8492039090494116
epiforecasts-EpiExpert_direct,BE,natural,2.225305968012556
epiforecasts-EpiNow2,BE,natural,6.79634106147089
prolix-euclidean,BE,natural,2.1372890932240725
EuroCOVIDhub-baseline,BG,log,2.1631739953338354
EuroCOVIDhub-ensemble,BG,log,1
IEM_Health-CovidProject,BG,log,1.771412853839789
ILM-EKF,BG,log,1.130979144830415
Imperial-DeCa,BG,log,1.9766855005410628
Imperial-RtI0,BG,log,1.5045680234895151
Imperial-sbkp,BG,log,1.6803266231064091
JBUD-HMXK,BG,log,3.0995189292288425
Karlen-pypm,BG,log,1.0314166565652079
LANL-GrowthRate,BG,log,1.5507466295596677
MUNI-ARIMA,BG,log,1.640400288846726
MUNI-LaggedRegARIMA,BG,log,0.8935825003821588
MUNI-VAR,BG,log,0.8301728400529371
RobertWalraven-ESG,BG,log,1.8428798940447733
SDSC_ISG-TrendModel,BG,log,1.5783657073684836
UMass-MechBayes,BG,log,1.2180634808063449
UMass-SemiMech,BG,log,1.2245419421570294
USC-SIkJalpha,BG,log,1.1556921810178207
bisop-seirfilterlite,BG,log,2.6334064329069498
epiforecasts-EpiExpert,BG,log,1.1369183659542899
epiforecasts-EpiExpert_Rt,BG,log,1.3783935073669025
epiforecasts-EpiExpert_direct,BG,log,0.7131313366778492
epiforecasts-EpiNow2,BG,log,1.240684551568946
EuroCOVIDhub-baseline,BG,natural,1.8618101537769334
EuroCOVIDhub-ensemble,BG,natural,1
IEM_Health-CovidProject,BG,natural,1.9735383402047249
ILM-EKF,BG,natural,1.4396945818217715
Imperial-DeCa,BG,natural,1.968344752796891
Imperial-RtI0,BG,natural,1.3514232631880414
Imperial-sbkp,BG,natural,1.6448128167502825
JBUD-HMXK,BG,natural,2.3030720670495763
Karlen-pypm,BG,natural,1.4365078403703637
LANL-GrowthRate,BG,natural,1.3140161139368036
MUNI-ARIMA,BG,natural,1.58136540696418
MUNI-LaggedRegARIMA,BG,natural,0.9040666934115319
MUNI-VAR,BG,natural,0.8154274493507908
RobertWalraven-ESG,BG,natural,1.2823481413551916
SDSC_ISG-TrendModel,BG,natural,1.497939325421842
UMass-MechBayes,BG,natural,1.118034931220777
UMass-SemiMech,BG,natural,1.4167895006141977
USC-SIkJalpha,BG,natural,1.2306499239770927
bisop-seirfilterlite,BG,natural,2.2945345979973673
epiforecasts-EpiExpert,BG,natural,1.3340413704233136
epiforecasts-EpiExpert_Rt,BG,natural,1.2849971235639468
epiforecasts-EpiExpert_direct,BG,natural,0.683761851288911
epiforecasts-EpiNow2,BG,natural,1.6374373411782956
EuroCOVIDhub-baseline,CH,log,1.5536628568982869
EuroCOVIDhub-ensemble,CH,log,1
IEM_Health-CovidProject,CH,log,1.3920869311722839
ILM-EKF,CH,log,1.1755005917618098
Imperial-DeCa,CH,log,2.590897820972167
Imperial-RtI0,CH,log,5.3301864723752095
Imperial-sbkp,CH,log,3.932366556492071
JBUD-HMXK,CH,log,2.2377742393568374
Karlen-pypm,CH,log,1.043039454302773
LANL-GrowthRate,CH,log,1.3318871879328638
MUNI-ARIMA,CH,log,1.7007165468160166
MUNI-LaggedRegARIMA,CH,log,0.6776227399505736
MUNI-VAR,CH,log,0.7430889105358406
RobertWalraven-ESG,CH,log,1.2658898713910185
SDSC_ISG-TrendModel,CH,log,1.8015133647852208
UMass-MechBayes,CH,log,1.2595631453806095
UMass-SemiMech,CH,log,1.3172176376935802
USC-SIkJalpha,CH,log,1.0141592162040458
bisop-seirfilterlite,CH,log,1.4781119885113863
epiforecasts-EpiExpert,CH,log,1.4184463946949473
epiforecasts-EpiExpert_Rt,CH,log,1.5425539723570183
epiforecasts-EpiExpert_direct,CH,log,1.4036619763381315
epiforecasts-EpiNow2,CH,log,1.410419837711204
prolix-euclidean,CH,log,2.744209461620088
EuroCOVIDhub-baseline,CH,natural,1.3148426777204831
EuroCOVIDhub-ensemble,CH,natural,1
IEM_Health-CovidProject,CH,natural,1.8261937832587154
ILM-EKF,CH,natural,1.634075530882436
Imperial-DeCa,CH,natural,1.8175428782128364
Imperial-RtI0,CH,natural,2.939934624856875
Imperial-sbkp,CH,natural,2.372053302699461
JBUD-HMXK,CH,natural,1.1101441923696749
Karlen-pypm,CH,natural,1.0589224387599316
LANL-GrowthRate,CH,natural,1.152198311727455
MUNI-ARIMA,CH,natural,1.657414835734548
MUNI-LaggedRegARIMA,CH,natural,0.5748220180283669
MUNI-VAR,CH,natural,0.772707502167387
RobertWalraven-ESG,CH,natural,0.95172033498854
SDSC_ISG-TrendModel,CH,natural,1.7859316347434164
UMass-MechBayes,CH,natural,1.2653489940556892
UMass-SemiMech,CH,natural,1.5464923335309608
USC-SIkJalpha,CH,natural,1.1499616267016928
bisop-seirfilterlite,CH,natural,1.2371408877439116
epiforecasts-EpiExpert,CH,natural,1.6127554884766118
epiforecasts-EpiExpert_Rt,CH,natural,2.1738532946631786
epiforecasts-EpiExpert_direct,CH,natural,1.6525762951200382
epiforecasts-EpiNow2,CH,natural,1.8657960931555602
prolix-euclidean,CH,natural,2.6677873398736707
EuroCOVIDhub-baseline,CY,log,1.4053457822509627
EuroCOVIDhub-ensemble,CY,log,1
IEM_Health-CovidProject,CY,log,1.5604078304061553
ILM-EKF,CY,log,1.1960342063711282
Imperial-DeCa,CY,log,1.0612359607233979
Imperial-RtI0,CY,log,1.6591110849601505
Imperial-sbkp,CY,log,1.6677956864227301
Karlen-pypm,CY,log,1.1153357716171948
LANL-GrowthRate,CY,log,1.739025423507794
MUNI-ARIMA,CY,log,1.409498253430603
MUNI-LaggedRegARIMA,CY,log,1.2014510671276053
MUNI-VAR,CY,log,1.1304569781107863
RobertWalraven-ESG,CY,log,1.3364117281865517
SDSC_ISG-TrendModel,CY,log,1.949434205950898
UMass-MechBayes,CY,log,1.0005748490785997
UMass-SemiMech,CY,log,1.0230158366376567
USC-SIkJalpha,CY,log,1.1841032521921957
epiforecasts-EpiExpert,CY,log,1.1231063444442715
epiforecasts-EpiNow2,CY,log,1.1972669036903918
EuroCOVIDhub-baseline,CY,natural,1.241515529709307
EuroCOVIDhub-ensemble,CY,natural,1
IEM_Health-CovidProject,CY,natural,1.5216919612656132
ILM-EKF,CY,natural,1.6152331021094999
Imperial-DeCa,CY,natural,1.2119273492248521
Imperial-RtI0,CY,natural,1.7841025091855947
Imperial-sbkp,CY,natural,2.017335989776363
Karlen-pypm,CY,natural,1.2638353478822792
LANL-GrowthRate,CY,natural,1.5403476004524272
MUNI-ARIMA,CY,natural,1.3455844918636362
MUNI-LaggedRegARIMA,CY,natural,1.4371874538720093
MUNI-VAR,CY,natural,1.2423765083314802
RobertWalraven-ESG,CY,natural,1.1862827852718059
SDSC_ISG-TrendModel,CY,natural,1.8332248186475864
UMass-MechBayes,CY,natural,1.2563999650873061
UMass-SemiMech,CY,natural,1.131189432579381
USC-SIkJalpha,CY,natural,1.2172711480509382
epiforecasts-EpiExpert,CY,natural,2.7211346968225802
epiforecasts-EpiNow2,CY,natural,1.1987351232182097
EuroCOVIDhub-baseline,CZ,log,2.27479612627991
EuroCOVIDhub-ensemble,CZ,log,1
IEM_Health-CovidProject,CZ,log,1.4480860334511738
ILM-EKF,CZ,log,1.0294884168802132
Imperial-DeCa,CZ,log,1.0127031038266372
Imperial-RtI0,CZ,log,2.160380241403178
Imperial-sbkp,CZ,log,1.2469718400640337
JBUD-HMXK,CZ,log,3.2240736363947997
Karlen-pypm,CZ,log,1.3862219999098189
LANL-GrowthRate,CZ,log,1.4088031445354305
MUNI-ARIMA,CZ,log,1.6581299287974205
MUNI-LaggedRegARIMA,CZ,log,1.424161745973627
MUNI-VAR,CZ,log,3.8178179411517297
MUNI_DMS-SEIAR,CZ,log,2.112192332289306
RobertWalraven-ESG,CZ,log,1.5428025808046664
SDSC_ISG-TrendModel,CZ,log,1.536759728320655
UMass-MechBayes,CZ,log,0.9386319503398917
UMass-SemiMech,CZ,log,2.4316033277901767
USC-SIkJalpha,CZ,log,1.2960562765621262
bisop-seirfilter,CZ,log,1.3731381789869566
bisop-seirfilterlite,CZ,log,2.95105131327774
epiforecasts-EpiExpert,CZ,log,1.7395050385131536
epiforecasts-EpiExpert_Rt,CZ,log,1.1148039848584632
epiforecasts-EpiNow2,CZ,log,0.7967519158407567
prolix-euclidean,CZ,log,3.6636666049115685
EuroCOVIDhub-baseline,CZ,natural,1.9902703604005731
EuroCOVIDhub-ensemble,CZ,natural,1
IEM_Health-CovidProject,CZ,natural,1.6021706190904095
ILM-EKF,CZ,natural,1.2002769985121833
Imperial-DeCa,CZ,natural,0.8578022815895836
Imperial-RtI0,CZ,natural,1.7336967085305939
Imperial-sbkp,CZ,natural,0.963382107442987
JBUD-HMXK,CZ,natural,2.1941597452179233
Karlen-pypm,CZ,natural,1.7280481556218088
LANL-GrowthRate,CZ,natural,0.9073363397101007
MUNI-ARIMA,CZ,natural,1.2488933890557112
MUNI-LaggedRegARIMA,CZ,natural,1.2856449231705558
MUNI-VAR,CZ,natural,2.1230475706743883
MUNI_DMS-SEIAR,CZ,natural,1.2702247971774874
RobertWalraven-ESG,CZ,natural,1.1957831489839148
SDSC_ISG-TrendModel,CZ,natural,1.4081591837702896
UMass-MechBayes,CZ,natural,0.7721907386082252
UMass-SemiMech,CZ,natural,1.441943146458051
USC-SIkJalpha,CZ,natural,1.497342334971758
bisop-seirfilter,CZ,natural,1.2185663010360526
bisop-seirfilterlite,CZ,natural,1.959166307629871
epiforecasts-EpiExpert,CZ,natural,1.8515400864351492
epiforecasts-EpiExpert_Rt,CZ,natural,0.9017544606104082
epiforecasts-EpiNow2,CZ,natural,0.7644362911646522
prolix-euclidean,CZ,natural,1.9523200809778847
EuroCOVIDhub-baseline,DE,log,1.7948917765262362
EuroCOVIDhub-ensemble,DE,log,1
FIAS_FZJ-Epi1Ger,DE,log,1.9685259648962026
HZI-AgeExtendedSEIR,DE,log,1.134682407657942
IEM_Health-CovidProject,DE,log,2.016656826943852
ILM-EKF,DE,log,1.5843860611776046
ITWW-county_repro,DE,log,1.5423620120706651
Imperial-DeCa,DE,log,1.853472329763092
Imperial-RtI0,DE,log,1.552275807422546
Imperial-sbkp,DE,log,1.1362439786646088
JBUD-HMXK,DE,log,3.74166682159515
Karlen-pypm,DE,log,1.5390929533731352
LANL-GrowthRate,DE,log,1.5266735034584449
LeipzigIMISE-SECIR,DE,log,1.9847428008150456
MIT_CovidAnalytics-DELPHI,DE,log,1.7797003134843505
MUNI-ARIMA,DE,log,1.6214843315108909
MUNI-LaggedRegARIMA,DE,log,1.359476133965906
MUNI-VAR,DE,log,1.8923250291243945
RobertWalraven-ESG,DE,log,1.6953875139709378
SDSC_ISG-TrendModel,DE,log,1.6773908867995944
UMass-MechBayes,DE,log,1.4464031321954174
UMass-SemiMech,DE,log,1.2987080363770787
USC-SIkJalpha,DE,log,1.4475376615030973
bisop-seirfilterlite,DE,log,1.8542678887286932
epiforecasts-EpiExpert,DE,log,1.6042890804775793
epiforecasts-EpiExpert_Rt,DE,log,2.9356756766212073
epiforecasts-EpiExpert_direct,DE,log,1.1631524462407528
epiforecasts-EpiNow2,DE,log,2.0066786788633206
itwm-dSEIR,DE,log,1.8550201825931216
prolix-euclidean,DE,log,4.564576801808144
EuroCOVIDhub-baseline,DE,natural,1.4510011232480164
EuroCOVIDhub-ensemble,DE,natural,1
FIAS_FZJ-Epi1Ger,DE,natural,2.659619952466516
HZI-AgeExtendedSEIR,DE,natural,1.095908129096976
IEM_Health-CovidProject,DE,natural,2.428734943134869
ILM-EKF,DE,natural,1.8672711549004035
ITWW-county_repro,DE,natural,1.627584236751958
Imperial-DeCa,DE,natural,1.9674264433028283
Imperial-RtI0,DE,natural,1.554065596873002
Imperial-sbkp,DE,natural,1.1297179996656803
JBUD-HMXK,DE,natural,2.783483268135735
Karlen-pypm,DE,natural,1.4614448265713977
LANL-GrowthRate,DE,natural,1.4613204503268216
LeipzigIMISE-SECIR,DE,natural,2.4141296863900132
MIT_CovidAnalytics-DELPHI,DE,natural,1.4045345066315615
MUNI-ARIMA,DE,natural,1.4701626237266254
MUNI-LaggedRegARIMA,DE,natural,0.9996859476221602
MUNI-VAR,DE,natural,1.8778278960311228
RobertWalraven-ESG,DE,natural,1.4389875272480228
SDSC_ISG-TrendModel,DE,natural,1.5980211248204987
UMass-MechBayes,DE,natural,1.3201320389994649
UMass-SemiMech,DE,natural,1.1599534383846217
USC-SIkJalpha,DE,natural,1.5642853121488047
bisop-seirfilterlite,DE,natural,1.504906143285258
epiforecasts-EpiExpert,DE,natural,1.4285120952320747
epiforecasts-EpiExpert_Rt,DE,natural,2.9882071709207976
epiforecasts-EpiExpert_direct,DE,natural,1.2164649928661093
epiforecasts-EpiNow2,DE,natural,2.12031260022976
itwm-dSEIR,DE,natural,1.5883741278778605
prolix-euclidean,DE,natural,2.3669060894041363
EuroCOVIDhub-baseline,DK,log,1.377930271521324
EuroCOVIDhub-ensemble,DK,log,1
IEM_Health-CovidProject,DK,log,1.2060873797474625
ILM-EKF,DK,log,1.1413028306146942
Imperial-DeCa,DK,log,1.0843666292694463
Imperial-RtI0,DK,log,1.3987787030675771
Imperial-sbkp,DK,log,1.154036417425928
JBUD-HMXK,DK,log,2.377465403460297
Karlen-pypm,DK,log,1.0472637728551952
LANL-GrowthRate,DK,log,1.116865744871781
MUNI-ARIMA,DK,log,1.2400943077671946
MUNI-LaggedRegARIMA,DK,log,1.0527913810889733
MUNI-VAR,DK,log,1.4429267633220788
RobertWalraven-ESG,DK,log,1.3543262955031776
SDSC_ISG-TrendModel,DK,log,1.1096004719714117
UMass-MechBayes,DK,log,1.2037493252869729
UMass-SemiMech,DK,log,1.2928277675219921
USC-SIkJalpha,DK,log,1.3527550031702544
bisop-seirfilterlite,DK,log,1.2463183561929003
epiforecasts-EpiExpert,DK,log,1.1540543804723062
epiforecasts-EpiNow2,DK,log,1.2157605253056352
prolix-euclidean,DK,log,1.8364776336492044
EuroCOVIDhub-baseline,DK,natural,1.3482465932310828
EuroCOVIDhub-ensemble,DK,natural,1
IEM_Health-CovidProject,DK,natural,1.2058921670678795
ILM-EKF,DK,natural,1.3184243146262509
Imperial-DeCa,DK,natural,1.156644552009954
Imperial-RtI0,DK,natural,1.5837316381659747
Imperial-sbkp,DK,natural,1.2806422849505592
JBUD-HMXK,DK,natural,2.1518063870036728
Karlen-pypm,DK,natural,0.9526383414703599
LANL-GrowthRate,DK,natural,1.0216328846293468
MUNI-ARIMA,DK,natural,1.2071506560640581
MUNI-LaggedRegARIMA,DK,natural,1.1875086158214578
MUNI-VAR,DK,natural,1.6022960719907087
RobertWalraven-ESG,DK,natural,1.1803749468985163
SDSC_ISG-TrendModel,DK,natural,1.1139869912402418
UMass-MechBayes,DK,natural,1.1906183130881907
UMass-SemiMech,DK,natural,1.3954179882696967
USC-SIkJalpha,DK,natural,1.3340064661472737
bisop-seirfilterlite,DK,natural,1.4651585702422742
epiforecasts-EpiExpert,DK,natural,1.1013656961530538
epiforecasts-EpiNow2,DK,natural,1.2854087231920366
prolix-euclidean,DK,natural,1.4835874268873008
EuroCOVIDhub-baseline,EE,log,1.2909967339921704
EuroCOVIDhub-ensemble,EE,log,1
IEM_Health-CovidProject,EE,log,1.2829439340676652
ILM-EKF,EE,log,1.1426910028418824
Imperial-DeCa,EE,log,1.7371390776720412
Imperial-RtI0,EE,log,1.1950309092351443
Imperial-sbkp,EE,log,1.3724117650100716
JBUD-HMXK,EE,log,1.7282889435900815
Karlen-pypm,EE,log,1.0947328235996092
LANL-GrowthRate,EE,log,2.111276828905086
MUNI-ARIMA,EE,log,1.2225764340438856
MUNI-LaggedRegARIMA,EE,log,1.0116693448720815
MUNI-VAR,EE,log,1.316986617792332
RobertWalraven-ESG,EE,log,1.2210365231640259
SDSC_ISG-TrendModel,EE,log,1.8014246295919838
UMass-MechBayes,EE,log,0.8278601759909646
UMass-SemiMech,EE,log,1.032010782447231
USC-SIkJalpha,EE,log,1.0743007323502425
bisop-seirfilterlite,EE,log,2.163543450060972
epiforecasts-EpiExpert,EE,log,0.614866562735546
epiforecasts-EpiNow2,EE,log,1.1489272741137033
prolix-euclidean,EE,log,3.7605942423731564
EuroCOVIDhub-baseline,EE,natural,1.341390510239268
EuroCOVIDhub-ensemble,EE,natural,1
IEM_Health-CovidProject,EE,natural,1.5229785909018283
ILM-EKF,EE,natural,1.3618142844042236
Imperial-DeCa,EE,natural,1.5231546864593362
Imperial-RtI0,EE,natural,0.9722600221101635
Imperial-sbkp,EE,natural,1.4361002233173923
JBUD-HMXK,EE,natural,1.5453319237645262
Karlen-pypm,EE,natural,1.1401688853480745
LANL-GrowthRate,EE,natural,1.9160992288769998
MUNI-ARIMA,EE,natural,1.2348351296501583
MUNI-LaggedRegARIMA,EE,natural,0.9374334290451891
MUNI-VAR,EE,natural,1.2946563857165385
RobertWalraven-ESG,EE,natural,1.2660972351295798
SDSC_ISG-TrendModel,EE,natural,1.3960651333109313
UMass-MechBayes,EE,natural,0.8085920830295112
UMass-SemiMech,EE,natural,0.8749559664897395
USC-SIkJalpha,EE,natural,1.1359759019022484
bisop-seirfilterlite,EE,natural,1.6669722507700437
epiforecasts-EpiExpert,EE,natural,0.5298171773702879
epiforecasts-EpiNow2,EE,natural,1.117323623537576
prolix-euclidean,EE,natural,2.743359123618993
EuroCOVIDhub-baseline,ES,log,2.1387289141363364
EuroCOVIDhub-ensemble,ES,log,1
IEM_Health-CovidProject,ES,log,1.2723495038681718
ILM-EKF,ES,log,1.2370987030575542
Imperial-DeCa,ES,log,4.720698434464904
Imperial-RtI0,ES,log,8.496207671175512
Imperial-sbkp,ES,log,6.909715219231385
JBUD-HMXK,ES,log,2.489664310500831
Karlen-pypm,ES,log,1.3205135714740712
LANL-GrowthRate,ES,log,0.9772714204043543
MUNI-ARIMA,ES,log,1.5774217761231482
MUNI-LaggedRegARIMA,ES,log,0.8437411778563616
MUNI-VAR,ES,log,1.0802341025164621
RobertWalraven-ESG,ES,log,1.9110238495736478
SDSC_ISG-TrendModel,ES,log,1.8423032503017835
UB-BSLCoV,ES,log,1.5438205364580853
UMass-MechBayes,ES,log,1.6182631387770954
UMass-SemiMech,ES,log,2.070716757751963
UNED-PreCoV2,ES,log,1.8043950521419179
USC-SIkJalpha,ES,log,1.2136147646957247
bisop-seirfilterlite,ES,log,3.429048717111641
epiforecasts-EpiExpert,ES,log,1.188940234909468
epiforecasts-EpiExpert_Rt,ES,log,0.9563612274680382
epiforecasts-EpiExpert_direct,ES,log,0.6079872081937048
epiforecasts-EpiNow2,ES,log,1.594337303859549
EuroCOVIDhub-baseline,ES,natural,1.3972213083100173
EuroCOVIDhub-ensemble,ES,natural,1
IEM_Health-CovidProject,ES,natural,1.3863428151722694
ILM-EKF,ES,natural,1.65937457513651
Imperial-DeCa,ES,natural,2.71792922880312
Imperial-RtI0,ES,natural,3.4543686286317086
Imperial-sbkp,ES,natural,3.1756185657404163
JBUD-HMXK,ES,natural,3.9195790481079005
Karlen-pypm,ES,natural,1.4758143911298776
LANL-GrowthRate,ES,natural,0.9307892222474925
MUNI-ARIMA,ES,natural,1.4021881131116325
MUNI-LaggedRegARIMA,ES,natural,0.8487720146995441
MUNI-VAR,ES,natural,0.7424384064090417
RobertWalraven-ESG,ES,natural,1.2315162207726698
SDSC_ISG-TrendModel,ES,natural,1.6295659464374475
UB-BSLCoV,ES,natural,2.3035868075469432
UMass-MechBayes,ES,natural,1.8390379463261497
UMass-SemiMech,ES,natural,1.4397657856016233
UNED-PreCoV2,ES,natural,1.4816480685679045
USC-SIkJalpha,ES,natural,1.2677789967058477
bisop-seirfilterlite,ES,natural,1.323914602261887
