model,location,scale,rel_wis
epiforecasts-EpiExpert,ES,natural,1.5468012017667834
epiforecasts-EpiExpert_Rt,ES,natural,1.31518868035264
epiforecasts-EpiExpert_direct,ES,natural,0.6033493011809348
epiforecasts-EpiNow2,ES,natural,1.555527116890241
EuroCOVIDhub-baseline,FI,log,1.222051716337577
EuroCOVIDhub-ensemble,FI,log,1
IEM_Health-CovidProject,FI,log,1.1807681024835301
ILM-EKF,FI,log,1.4004877940135338
JBUD-HMXK,FI,log,2.339058621429152
Karlen-pypm,FI,log,1.22401793633127
LANL-GrowthRate,FI,log,1.5221319885652713
MUNI-ARIMA,FI,log,1.1616119954441921
MUNI-LaggedRegARIMA,FI,log,1.168398633533209
MUNI-VAR,FI,log,1.3370280087986295
RobertWalraven-ESG,FI,log,1.2573271397942891
SDSC_ISG-TrendModel,FI,log,1.5744871875282511
UMass-MechBayes,FI,log,1.2091640005547213
UMass-SemiMech,FI,log,1.1229201527708472
USC-SIkJalpha,FI,log,1.2496782425120179
bisop-seirfilterlite,FI,log,1.887220700247177
epiforecasts-EpiExpert,FI,log,1.285457402445981
epiforecasts-EpiNow2,FI,log,1.4044398689940842
EuroCOVIDhub-baseline,FI,natural,1.2100619414766123
EuroCOVIDhub-ensemble,FI,natural,1
IEM_Health-CovidProject,FI,natural,1.2818973482107285
ILM-EKF,FI,natural,55.20608334040769
JBUD-HMXK,FI,natural,3.755387615022846
Karlen-pypm,FI,natural,1.9956839685352274
LANL-GrowthRate,FI,natural,2.246264024781696
MUNI-ARIMA,FI,natural,1.0332192131828237
MUNI-LaggedRegARIMA,FI,natural,1.9756343698101222
MUNI-VAR,FI,natural,2.138886415408256
RobertWalraven-ESG,FI,natural,1.1166040002508588
SDSC_ISG-TrendModel,FI,natural,1.445408336597969
UMass-MechBayes,FI,natural,1.8004904314344041
UMass-SemiMech,FI,natural,2.0406654931112755
USC-SIkJalpha,FI,natural,1.1611219963688726
bisop-seirfilterlite,FI,natural,3.1757600856254062
epiforecasts-EpiExpert,FI,natural,2.4328676387020596
epiforecasts-EpiNow2,FI,natural,2.1944325083162894
EuroCOVIDhub-baseline,FR,log,2.091887675012131
EuroCOVIDhub-ensemble,FR,log,1
IEM_Health-CovidProject,FR,log,1.5410540568226736
ILM-EKF,FR,log,1.4016324888154543
Imperial-DeCa,FR,log,1.1047826418411515
Imperial-RtI0,FR,log,1.2530307186436247
Imperial-sbkp,FR,log,1.1656966712858459
JBUD-HMXK,FR,log,4.463104572874491
Karlen-pypm,FR,log,1.3600789560998727
LANL-GrowthRate,FR,log,1.4619774317245093
MUNI-ARIMA,FR,log,1.7474425368821738
MUNI-LaggedRegARIMA,FR,log,2.0639042251992206
MUNI-VAR,FR,log,1.6316593402799116
RobertWalraven-ESG,FR,log,1.6085977838700645
SDSC_ISG-TrendModel,FR,log,1.5271689938564905
UMass-MechBayes,FR,log,1.3491036957071267
UMass-SemiMech,FR,log,3.0636759172164143
USC-SIkJalpha,FR,log,1.5869751333549427
bisop-seirfilterlite,FR,log,3.0396638024648928
epiforecasts-EpiExpert,FR,log,2.1495940890932665
epiforecasts-EpiExpert_Rt,FR,log,2.9283544624902107
epiforecasts-EpiExpert_direct,FR,log,2.2053724537996593
epiforecasts-EpiNow2,FR,log,1.8003650854885762
prolix-euclidean,FR,log,1.9369446460893638
EuroCOVIDhub-baseline,FR,natural,1.5763673839633474
EuroCOVIDhub-ensemble,FR,natural,1
IEM_Health-CovidProject,FR,natural,1.8385252636068814
ILM-EKF,FR,natural,1.9130178951948786
Imperial-DeCa,FR,natural,0.8992302706665887
Imperial-RtI0,FR,natural,1.1937928088857994
Imperial-sbkp,FR,natural,1.1462740338489878
JBUD-HMXK,FR,natural,4.8689492290225225
Karlen-pypm,FR,natural,1.4779966664310102
LANL-GrowthRate,FR,natural,1.4806009413190089
MUNI-ARIMA,FR,natural,1.4775563986764615
MUNI-LaggedRegARIMA,FR,natural,1.4837474064937832
MUNI-VAR,FR,natural,1.4391167007396855
RobertWalraven-ESG,FR,natural,1.1022813962788391
SDSC_ISG-TrendModel,FR,natural,1.6856211881995997
UMass-MechBayes,FR,natural,1.4996986107423982
UMass-SemiMech,FR,natural,1.9483401682533275
USC-SIkJalpha,FR,natural,1.6750958070727664
bisop-seirfilterlite,FR,natural,2.844726827780156
epiforecasts-EpiExpert,FR,natural,2.115972691764064
epiforecasts-EpiExpert_Rt,FR,natural,3.4767584816480945
epiforecasts-EpiExpert_direct,FR,natural,2.0263007844978533
epiforecasts-EpiNow2,FR,natural,2.1663047690679464
prolix-euclidean,FR,natural,1.4681587406354313
EuroCOVIDhub-baseline,GB,log,2.544991042521152
EuroCOVIDhub-ensemble,GB,log,1
IEM_Health-CovidProject,GB,log,1.6160234188774625
ILM-EKF,GB,log,1.0843741606655006
Imperial-DeCa,GB,log,1.546183020423969
Imperial-RtI0,GB,log,1.5683410121205952
Imperial-sbkp,GB,log,1.5553570779454777
JBUD-HMXK,GB,log,2.3372652762952493
Karlen-pypm,GB,log,1.2982305252514579
LANL-GrowthRate,GB,log,1.3142929703735975
MUNI-ARIMA,GB,log,1.8785729571997865
MUNI-LaggedRegARIMA,GB,log,1.5883235622938048
MUNI-VAR,GB,log,0.8726904171656833
RobertWalraven-ESG,GB,log,2.5524973129529034
SDSC_ISG-TrendModel,GB,log,2.1580078006431713
UMass-MechBayes,GB,log,1.2864297791474244
UMass-SemiMech,GB,log,1.7949034493149894
USC-SIkJalpha,GB,log,1.2160453798391782
bisop-seirfilterlite,GB,log,2.1519143382142563
epiforecasts-EpiExpert,GB,log,0.9242597722331761
epiforecasts-EpiExpert_Rt,GB,log,0.8447172601826768
epiforecasts-EpiExpert_direct,GB,log,1.2766720961895575
epiforecasts-EpiNow2,GB,log,1.13893226724242
prolix-euclidean,GB,log,2.0294868444399357
EuroCOVIDhub-baseline,GB,natural,1.8887856801096623
EuroCOVIDhub-ensemble,GB,natural,1
IEM_Health-CovidProject,GB,natural,1.6952032053415647
ILM-EKF,GB,natural,1.159632765118237
Imperial-DeCa,GB,natural,1.1803547651180277
Imperial-RtI0,GB,natural,1.2963013976364353
Imperial-sbkp,GB,natural,1.2754152727379433
JBUD-HMXK,GB,natural,1.056351127455928
Karlen-pypm,GB,natural,1.2341994133510952
LANL-GrowthRate,GB,natural,1.1054439840143215
MUNI-ARIMA,GB,natural,1.7151888425511483
MUNI-LaggedRegARIMA,GB,natural,1.4450860033039459
MUNI-VAR,GB,natural,0.8283407944091921
RobertWalraven-ESG,GB,natural,1.7867013758911494
SDSC_ISG-TrendModel,GB,natural,1.6904329240640972
UMass-MechBayes,GB,natural,1.3124593228634927
UMass-SemiMech,GB,natural,1.4767874043847526
USC-SIkJalpha,GB,natural,1.170458585996723
bisop-seirfilterlite,GB,natural,1.5584285388405235
epiforecasts-EpiExpert,GB,natural,1.0568598178441158
epiforecasts-EpiExpert_Rt,GB,natural,1.2042081527479447
epiforecasts-EpiExpert_direct,GB,natural,1.194297473183905
epiforecasts-EpiNow2,GB,natural,1.2526798887551605
prolix-euclidean,GB,natural,2.471071265974834
EuroCOVIDhub-baseline,GR,log,1.5792513212974335
EuroCOVIDhub-ensemble,GR,log,1
IEM_Health-CovidProject,GR,log,1.4244891434241862
ILM-EKF,GR,log,1.6669797535562316
Imperial-DeCa,GR,log,1.7353491727867878
Imperial-RtI0,GR,log,1.4459725275343445
Imperial-sbkp,GR,log,1.600942242077313
JBUD-HMXK,GR,log,2.8365117761949445
Karlen-pypm,GR,log,1.7877982946786357
LANL-GrowthRate,GR,log,1.3720860420996073
MUNI-ARIMA,GR,log,1.4137319915240916
MUNI-LaggedRegARIMA,GR,log,0.7676391093769266
MUNI-VAR,GR,log,1.3423591576923128
RobertWalraven-ESG,GR,log,1.343512252913405
SDSC_ISG-TrendModel,GR,log,1.552790988485099
UMass-MechBayes,GR,log,1.1773518781066856
UMass-SemiMech,GR,log,1.0803463778718796
USC-SIkJalpha,GR,log,1.375439593937618
bisop-seirfilterlite,GR,log,1.4778125595752702
epiforecasts-EpiExpert,GR,log,1.2693318634574395
epiforecasts-EpiNow2,GR,log,1.5017921920826074
EuroCOVIDhub-baseline,GR,natural,1.5114713342301085
EuroCOVIDhub-ensemble,GR,natural,1
IEM_Health-CovidProject,GR,natural,2.270365907248382
ILM-EKF,GR,natural,17.261138843646986
Imperial-DeCa,GR,natural,2.1645044275329566
Imperial-RtI0,GR,natural,2.1485813360157033
Imperial-sbkp,GR,natural,2.5663292954276793
JBUD-HMXK,GR,natural,3.3288593372211546
Karlen-pypm,GR,natural,2.955583762618873
LANL-GrowthRate,GR,natural,1.651219412064856
MUNI-ARIMA,GR,natural,1.2267164667332
MUNI-LaggedRegARIMA,GR,natural,1.0168706969563857
MUNI-VAR,GR,natural,1.8449204675305706
RobertWalraven-ESG,GR,natural,1.1460563907535708
SDSC_ISG-TrendModel,GR,natural,1.5172594629473326
UMass-MechBayes,GR,natural,1.4679935246915001
UMass-SemiMech,GR,natural,1.5481111365263205
USC-SIkJalpha,GR,natural,1.8190290601809675
bisop-seirfilterlite,GR,natural,2.1090680519645932
epiforecasts-EpiExpert,GR,natural,1.7593724714158623
epiforecasts-EpiNow2,GR,natural,2.3896884109512957
EuroCOVIDhub-baseline,HR,log,1.7435924679360406
EuroCOVIDhub-ensemble,HR,log,1
IEM_Health-CovidProject,HR,log,1.6022019396749125
ILM-EKF,HR,log,1.1931591282292002
Imperial-DeCa,HR,log,1.075045470262497
Imperial-RtI0,HR,log,1.3123160804445644
Imperial-sbkp,HR,log,1.1986501844614965
JBUD-HMXK,HR,log,1.9909368664373759
Karlen-pypm,HR,log,0.9708250807587031
LANL-GrowthRate,HR,log,1.6252681738876715
MUNI-ARIMA,HR,log,1.6225679903551213
MUNI-LaggedRegARIMA,HR,log,1.808102273153131
MUNI-VAR,HR,log,0.9410778804325249
RobertWalraven-ESG,HR,log,1.8110619395805712
SDSC_ISG-TrendModel,HR,log,1.4379659185968572
UMass-MechBayes,HR,log,0.9691809630807322
UMass-SemiMech,HR,log,0.9464158072690451
USC-SIkJalpha,HR,log,1.5927647691789513
bisop-seirfilterlite,HR,log,1.2950759071749038
epiforecasts-EpiExpert,HR,log,1.0395579085350477
epiforecasts-EpiExpert_Rt,HR,log,1.077655087766062
epiforecasts-EpiNow2,HR,log,0.9425889356056377
EuroCOVIDhub-baseline,HR,natural,1.5000819424656686
EuroCOVIDhub-ensemble,HR,natural,1
IEM_Health-CovidProject,HR,natural,1.8205212777274549
ILM-EKF,HR,natural,1.3349245577433104
Imperial-DeCa,HR,natural,1.1911319524874262
Imperial-RtI0,HR,natural,1.112784652932597
Imperial-sbkp,HR,natural,1.4206809850241944
JBUD-HMXK,HR,natural,2.243415407305469
Karlen-pypm,HR,natural,1.1239672984682028
LANL-GrowthRate,HR,natural,0.9050639888680508
MUNI-ARIMA,HR,natural,1.4310045480028841
MUNI-LaggedRegARIMA,HR,natural,1.560502464361158
MUNI-VAR,HR,natural,1.0351130626498746
RobertWalraven-ESG,HR,natural,1.3902815731024476
SDSC_ISG-TrendModel,HR,natural,1.3656434736759455
UMass-MechBayes,HR,natural,1.0096180261906147
UMass-SemiMech,HR,natural,1.01228338947272
USC-SIkJalpha,HR,natural,1.3483213528129634
bisop-seirfilterlite,HR,natural,1.346903896561855
epiforecasts-EpiExpert,HR,natural,0.9009266922122684
epiforecasts-EpiExpert_Rt,HR,natural,1.0351637128839655
epiforecasts-EpiNow2,HR,natural,0.9372649962402246
EuroCOVIDhub-baseline,HU,log,1.9506878288643086
EuroCOVIDhub-ensemble,HU,log,1
IEM_Health-CovidProject,HU,log,1.4854937596643214
ILM-EKF,HU,log,0.9623380426025098
Imperial-DeCa,HU,log,1.3024337658310299
Imperial-RtI0,HU,log,2.330302650486085
Imperial-sbkp,HU,log,1.5937027431243838
JBUD-HMXK,HU,log,2.614686042626181
Karlen-pypm,HU,log,1.085675876549876
LANL-GrowthRate,HU,log,1.496131284214355
MUNI-ARIMA,HU,log,1.7918073932943581
MUNI-LaggedRegARIMA,HU,log,2.0119103448796545
MUNI-VAR,HU,log,3.459475122058403
RobertWalraven-ESG,HU,log,1.8273663159399545
SDSC_ISG-TrendModel,HU,log,1.5597192293385145
UMass-MechBayes,HU,log,1.3693745088949714
UMass-SemiMech,HU,log,1.2061997110119307
USC-SIkJalpha,HU,log,1.2116163303519951
bisop-seirfilterlite,HU,log,3.3406996376717664
epiforecasts-EpiExpert,HU,log,0.9973352166393635
epiforecasts-EpiExpert_Rt,HU,log,1.05826488256
epiforecasts-EpiNow2,HU,log,1.1145463622916818
EuroCOVIDhub-baseline,HU,natural,1.742322477274996
EuroCOVIDhub-ensemble,HU,natural,1
IEM_Health-CovidProject,HU,natural,1.8803246995467966
ILM-EKF,HU,natural,1.3314308616711443
Imperial-DeCa,HU,natural,1.2379744598123175
Imperial-RtI0,HU,natural,1.6533513634870327
Imperial-sbkp,HU,natural,1.2317769907113205
JBUD-HMXK,HU,natural,1.498310341531981
Karlen-pypm,HU,natural,1.753764818886192
LANL-GrowthRate,HU,natural,0.831122568727121
MUNI-ARIMA,HU,natural,1.2906800000021574
MUNI-LaggedRegARIMA,HU,natural,1.7060795061480987
MUNI-VAR,HU,natural,1.8892724047077896
RobertWalraven-ESG,HU,natural,1.3037508286451227
SDSC_ISG-TrendModel,HU,natural,1.142999201550698
UMass-MechBayes,HU,natural,1.0047839034149122
UMass-SemiMech,HU,natural,1.2252059110679128
USC-SIkJalpha,HU,natural,1.5218396259358016
bisop-seirfilterlite,HU,natural,2.428285761986359
epiforecasts-EpiExpert,HU,natural,0.7528656594263955
epiforecasts-EpiExpert_Rt,HU,natural,0.8704454400554386
epiforecasts-EpiNow2,HU,natural,1.3900334199136433
EuroCOVIDhub-baseline,IE,log,1.07770029736047
EuroCOVIDhub-ensemble,IE,log,1
IEM_Health-CovidProject,IE,log,1.2420013151663212
ILM-EKF,IE,log,1.2904251439840266
Imperial-DeCa,IE,log,1.280557227569868
Imperial-RtI0,IE,log,1.5344176546357584
Imperial-sbkp,IE,log,1.8586471302454963
JBUD-HMXK,IE,log,3.4234534934429446
Karlen-pypm,IE,log,1.1861229791864445
LANL-GrowthRate,IE,log,1.5052797871898818
MUNI-ARIMA,IE,log,0.9524400319341851
MUNI-LaggedRegARIMA,IE,log,1.0009289985696364
MUNI-VAR,IE,log,1.4141791761138063
RobertWalraven-ESG,IE,log,1.0547528811278526
SDSC_ISG-TrendModel,IE,log,1.8657500488525396
UMass-MechBayes,IE,log,1.127914164428578
UMass-SemiMech,IE,log,1.1817648479841427
USC-SIkJalpha,IE,log,1.2559275098504523
bisop-seirfilterlite,IE,log,1.4805117450887826
epiforecasts-EpiExpert,IE,log,1.502247952363969
epiforecasts-EpiExpert_Rt,IE,log,1.5282959396550384
epiforecasts-EpiExpert_direct,IE,log,1.3482144870283428
epiforecasts-EpiNow2,IE,log,1.3147723123632062
prolix-euclidean,IE,log,3.5831887285640067
EuroCOVIDhub-baseline,IE,natural,1.0388648472596067
EuroCOVIDhub-ensemble,IE,natural,1
IEM_Health-CovidProject,IE,natural,1.147391654165571
ILM-EKF,IE,natural,29.500898247021947
Imperial-DeCa,IE,natural,1.4690992369822142
Imperial-RtI0,IE,natural,2.202318614398526
Imperial-sbkp,IE,natural,2.801851694707132
JBUD-HMXK,IE,natural,3.908959267352316
Karlen-pypm,IE,natural,1.6440205036121676
LANL-GrowthRate,IE,natural,1.5472022170381572
MUNI-ARIMA,IE,natural,0.8533514280538781
MUNI-LaggedRegARIMA,IE,natural,1.1292530569963728
MUNI-VAR,IE,natural,1.865120145955499
RobertWalraven-ESG,IE,natural,0.8947443393991451
SDSC_ISG-TrendModel,IE,natural,1.3012125554338574
UMass-MechBayes,IE,natural,1.2741290223556399
UMass-SemiMech,IE,natural,1.6892685514701402
USC-SIkJalpha,IE,natural,1.1748339817453852
bisop-seirfilterlite,IE,natural,1.814801854230795
epiforecasts-EpiExpert,IE,natural,1.9912371077275735
epiforecasts-EpiExpert_Rt,IE,natural,2.159799337089324
epiforecasts-EpiExpert_direct,IE,natural,1.0600633708280194
epiforecasts-EpiNow2,IE,natural,1.2720939024449995
prolix-euclidean,IE,natural,2.3860798633107625
EuroCOVIDhub-baseline,IS,log,NA
EuroCOVIDhub-ensemble,IS,log,NA
IEM_Health-CovidProject,IS,log,NA
ILM-EKF,IS,log,NA
JBUD-HMXK,IS,log,NA
LANL-GrowthRate,IS,log,NA
MUNI-ARIMA,IS,log,NA
MUNI-LaggedRegARIMA,IS,log,NA
MUNI-VAR,IS,log,NA
RobertWalraven-ESG,IS,log,NA
SDSC_ISG-TrendModel,IS,log,NA
UMass-MechBayes,IS,log,NA
UMass-SemiMech,IS,log,NA
USC-SIkJalpha,IS,log,NA
epiforecasts-EpiExpert,IS,log,NA
epiforecasts-EpiExpert_Rt,IS,log,NA
epiforecasts-EpiExpert_direct,IS,log,NA
epiforecasts-EpiNow2,IS,log,NA
EuroCOVIDhub-baseline,IS,natural,NA
EuroCOVIDhub-ensemble,IS,natural,NA
IEM_Health-CovidProject,IS,natural,NA
ILM-EKF,IS,natural,NA
JBUD-HMXK,IS,natural,NA
LANL-GrowthRate,IS,natural,NA
MUNI-ARIMA,IS,natural,NA
MUNI-LaggedRegARIMA,IS,natural,NA
MUNI-VAR,IS,natural,NA
RobertWalraven-ESG,IS,natural,NA
SDSC_ISG-TrendModel,IS,natural,NA
UMass-MechBayes,IS,natural,NA
UMass-SemiMech,IS,natural,NA
USC-SIkJalpha,IS,natural,NA
epiforecasts-EpiExpert,IS,natural,NA
epiforecasts-EpiExpert_Rt,IS,natural,NA
epiforecasts-EpiExpert_direct,IS,natural,NA
epiforecasts-EpiNow2,IS,natural,NA
EuroCOVIDhub-baseline,IT,log,2.5823805687221526
EuroCOVIDhub-ensemble,IT,log,1
IEM_Health-CovidProject,IT,log,1.6099266352481914
ILM-EKF,IT,log,1.2716635755375776
Imperial-DeCa,IT,log,1.2642387867515053
Imperial-RtI0,IT,log,1.6536148302567737
Imperial-sbkp,IT,log,1.3495832532741119
JBUD-HMXK,IT,log,3.6503371323725107
Karlen-pypm,IT,log,1.4789748395788904
LANL-GrowthRate,IT,log,1.0311145978645002
MUNI-ARIMA,IT,log,1.6382359222289777
MUNI-LaggedRegARIMA,IT,log,1.4219144884989905
MUNI-VAR,IT,log,1.1647970527921891
RobertWalraven-ESG,IT,log,1.6264085653627596
SDSC_ISG-TrendModel,IT,log,1.6305996412041661
UMass-MechBayes,IT,log,1.4711859181032836
UMass-SemiMech,IT,log,1.2221309117016361
USC-SIkJalpha,IT,log,1.3341829642305822
UpgUmibUsi-MultiBayes,IT,log,1.2414119151685603
bisop-seirfilterlite,IT,log,1.8876232621428812
epiMOX-SUIHTER,IT,log,0.7445282225147221
epiforecasts-EpiExpert,IT,log,2.383777969174042
epiforecasts-EpiExpert_Rt,IT,log,2.3391488548217874
epiforecasts-EpiNow2,IT,log,1.6243013029380728
prolix-euclidean,IT,log,1.4783058030746015
EuroCOVIDhub-baseline,IT,natural,1.9630118983175215
EuroCOVIDhub-ensemble,IT,natural,1
IEM_Health-CovidProject,IT,natural,1.847554451072486
ILM-EKF,IT,natural,1.758519487509828
Imperial-DeCa,IT,natural,1.02403967451747
Imperial-RtI0,IT,natural,2.21830077354875
Imperial-sbkp,IT,natural,1.644885263055464
JBUD-HMXK,IT,natural,4.875061909596725
Karlen-pypm,IT,natural,1.6418348340307949
LANL-GrowthRate,IT,natural,0.850135385136093
MUNI-ARIMA,IT,natural,1.2734245997708749
MUNI-LaggedRegARIMA,IT,natural,1.2037140108963167
MUNI-VAR,IT,natural,1.3378538343323534
RobertWalraven-ESG,IT,natural,1.4392530208774053
SDSC_ISG-TrendModel,IT,natural,1.6204947105445977
UMass-MechBayes,IT,natural,1.791167912446877
UMass-SemiMech,IT,natural,1.408389033448307
USC-SIkJalpha,IT,natural,1.4987888318316505
UpgUmibUsi-MultiBayes,IT,natural,1.25350576821913
bisop-seirfilterlite,IT,natural,1.7375371652900755
epiMOX-SUIHTER,IT,natural,0.6418637457022442
epiforecasts-EpiExpert,IT,natural,2.655356490238536
epiforecasts-EpiExpert_Rt,IT,natural,2.3143196226956713
epiforecasts-EpiNow2,IT,natural,1.7057373855514915
prolix-euclidean,IT,natural,0.9780140900456046
EuroCOVIDhub-baseline,LI,log,1.3358766584990773
EuroCOVIDhub-ensemble,LI,log,1
IEM_Health-CovidProject,LI,log,1.8615731448441886
ILM-EKF,LI,log,1.4635492877602998
LANL-GrowthRate,LI,log,0.7873870038783913
MUNI-ARIMA,LI,log,0.89073020168005
MUNI-LaggedRegARIMA,LI,log,0.7454028577100987
MUNI-VAR,LI,log,0.936023282629523
RobertWalraven-ESG,LI,log,1.2653237455493829
SDSC_ISG-TrendModel,LI,log,1.2808067523074962
UMass-MechBayes,LI,log,0.9993036666348925
UMass-SemiMech,LI,log,1.0425134585820433
USC-SIkJalpha,LI,log,0
epiforecasts-EpiExpert,LI,log,Inf
epiforecasts-EpiNow2,LI,log,1.3088460497110777
EuroCOVIDhub-baseline,LI,natural,1.3386934447150274
EuroCOVIDhub-ensemble,LI,natural,1
IEM_Health-CovidProject,LI,natural,3.2713337619872367
ILM-EKF,LI,natural,1.8294575596411609
LANL-GrowthRate,LI,natural,0.7400288563968276
MUNI-ARIMA,LI,natural,0.8186150127493783
MUNI-LaggedRegARIMA,LI,natural,0.46718625096692773
MUNI-VAR,LI,natural,0.5676684553343277
RobertWalraven-ESG,LI,natural,1.2633609080745023
SDSC_ISG-TrendModel,LI,natural,1.275710113782732
UMass-MechBayes,LI,natural,1.0179091290725522
UMass-SemiMech,LI,natural,1.0127575110894655
USC-SIkJalpha,LI,natural,0
epiforecasts-EpiExpert,LI,natural,Inf
epiforecasts-EpiNow2,LI,natural,1.3582270180232898
EuroCOVIDhub-baseline,LT,log,1.4093691852105932
EuroCOVIDhub-ensemble,LT,log,1
IEM_Health-CovidProject,LT,log,1.3374112883432179
ILM-EKF,LT,log,1.3491672587421424
Imperial-DeCa,LT,log,1.2291023211812595
Imperial-RtI0,LT,log,3.067822191964805
Imperial-sbkp,LT,log,1.5775813521970508
JBUD-HMXK,LT,log,2.711812462837252
Karlen-pypm,LT,log,1.449275420272449
LANL-GrowthRate,LT,log,2.1065385570640163
MUNI-ARIMA,LT,log,1.4429907069254155
MUNI-LaggedRegARIMA,LT,log,1.3081053962448441
MUNI-VAR,LT,log,1.4184702394202793
RobertWalraven-ESG,LT,log,1.3689719457697962
SDSC_ISG-TrendModel,LT,log,1.6392412706731905
UMass-MechBayes,LT,log,0.956205169396295
UMass-SemiMech,LT,log,1.2469645123405881
USC-SIkJalpha,LT,log,1.3043801255025667
bisop-seirfilterlite,LT,log,2.086176046521382
epiforecasts-EpiExpert,LT,log,2.2619594585253067
epiforecasts-EpiNow2,LT,log,1.2241249216171723
EuroCOVIDhub-baseline,LT,natural,1.3168064298934923
EuroCOVIDhub-ensemble,LT,natural,1
IEM_Health-CovidProject,LT,natural,1.5358099899319346
ILM-EKF,LT,natural,3.268379960488518
Imperial-DeCa,LT,natural,1.2968578880775592
Imperial-RtI0,LT,natural,3.5683087560791
Imperial-sbkp,LT,natural,1.8508554417898722
JBUD-HMXK,LT,natural,2.7170805582954727
Karlen-pypm,LT,natural,2.1420410084305086
LANL-GrowthRate,LT,natural,1.8397256595700227
MUNI-ARIMA,LT,natural,1.2620375176092147
MUNI-LaggedRegARIMA,LT,natural,1.3779850815345323
MUNI-VAR,LT,natural,1.4156496109732775
RobertWalraven-ESG,LT,natural,1.223756435556775
SDSC_ISG-TrendModel,LT,natural,1.7925046338685195
UMass-MechBayes,LT,natural,1.1549024544924325
UMass-SemiMech,LT,natural,1.4395455542862472
USC-SIkJalpha,LT,natural,1.5470410487660688
bisop-seirfilterlite,LT,natural,2.749870021188296
epiforecasts-EpiExpert,LT,natural,2.595352787938118
epiforecasts-EpiNow2,LT,natural,1.5492905559150572
EuroCOVIDhub-baseline,LU,log,1.119035477707673
EuroCOVIDhub-ensemble,LU,log,1
IEM_Health-CovidProject,LU,log,1.3342230265512205
ILM-EKF,LU,log,1.2051902181459868
JBUD-HMXK,LU,log,2.5765823807638664
Karlen-pypm,LU,log,1.195826553014337
LANL-GrowthRate,LU,log,1.3896440942742254
MUNI-ARIMA,LU,log,1.1473305130791382
MUNI-LaggedRegARIMA,LU,log,1.0195632810782387
MUNI-VAR,LU,log,1.2382384206987707
RobertWalraven-ESG,LU,log,1.0625389781169319
SDSC_ISG-TrendModel,LU,log,1.6725046794818554
